Genes	Celltypes	Source
KLK3	Epithelial	Literature
KRT1	Epithelial	Literature
KRT10	Epithelial	Literature
KRT14	Epithelial	Literature
KRT15	Epithelial	Literature
KRT16	Epithelial	Literature
KRT18	Epithelial	Literature
KRT2	Epithelial	Literature
KRT3	Epithelial	Literature
KRT5	Epithelial	Literature
KRT6A	Epithelial	Literature
KRT7	Epithelial	Literature
KRT8	Epithelial	Literature
MUC1	Epithelial	Literature
SCNN1A	Epithelial	Literature
SCNN1B	Epithelial	Literature
SCNN1D	Epithelial	Literature
SCNN1G	Epithelial	Literature
SFTPA1	Epithelial	Literature
SFTPB	Epithelial	Literature
SFTPC	Epithelial	Literature
SFTPD	Epithelial	Literature
ACKR1	Endothelial	Literature
APLN	Endothelial	Literature
CD55	Endothelial	Literature
CDH5	Endothelial	Literature
FLT1	Endothelial	Literature
FLT4	Endothelial	Literature
KDR	Endothelial	Literature
MCAM	Endothelial	Literature
NOS3	Endothelial	Literature
PECAM1	Endothelial	Literature
SELE	Endothelial	Literature
THBD	Endothelial	Literature
VWF	Endothelial	Literature
